method,comparator,horizon,movies,mean_rmse_delta_comparator_minus_method,delta_ci_low,delta_ci_high,relative_gain_percent,method_better_movies,exact_two_sided_sign_flip_p,confirmatory,hypothesis_id,multiplicity_family,statistical_unit,holm_adjusted_p,reject_at_0_05
v166_h6_utility,gru_track,2,6,0.81360040860769,0.7438158246437375,0.901393740818635,16.27040644868512,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,hgbdt_v52,2,6,0.6605957623064204,0.60399848805315,0.7278361403037535,13.63890977882419,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,kalmannet,2,6,1.24160456747542,1.180150359873504,1.2949257848895221,23.025861699932097,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,position_imm,2,6,1.327346802659136,1.2250333931124444,1.4378094708670488,24.169396610749654,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,position_kf_ca,2,6,2.1094036906036755,1.9390906799297436,2.2913657309734172,33.54718697442871,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,position_kf_cv,2,6,1.41576711426904,1.3439311260101228,1.5038280022881103,25.378538680804184,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,v97_no_update,2,6,0.5114129057031412,0.47490189959169493,0.5532321619387387,10.918950684900459,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,v97_seed_mean,2,6,0.5483917934106143,0.5112359574788289,0.5902092908448472,11.618115577792908,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,wolf_imq_ca,2,6,2.3017477203481413,2.1750617457364463,2.4695205590872513,35.563567230516284,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,wolf_imq_cv,2,6,1.5378309099945444,1.4601189566801933,1.6374215367525249,26.967945158512425,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,constant_velocity,4,6,1.0217686723307442,0.8417353993392188,1.1844737327524062,17.269586993578816,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,displacement_kf_ca,4,6,3.082233690285253,2.816197385854291,3.328456296052773,38.59260892439216,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,displacement_kf_cv,4,6,2.236995481514501,1.9411832798605817,2.5713666211863093,31.244712661024582,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,gru_track,4,6,2.036657011903227,1.7864446196556243,2.3089051410716936,29.201410922450194,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,hgbdt_v52,4,6,1.9353860448435611,1.7616307556894244,2.115802274749185,28.262305675851294,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,kalmannet,4,6,2.5480546650590834,2.2736130813751685,2.76553306683623,34.2141078323908,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,position_imm,4,6,2.53571242398378,2.2711999272089236,2.829261338992417,34.064287823157464,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,position_kf_ca,4,6,2.358318192823298,2.035318901733354,2.6847767230203665,32.33909593220776,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,position_kf_cv,4,6,2.9132375151550445,2.670447550902947,3.143842909262815,37.26799936454374,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,v97_no_update,4,6,1.5549031235700443,1.4942717329956574,1.6110778904594156,24.158739664171705,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,v97_seed_mean,4,6,1.6378015376431083,1.573116794714375,1.6982882151381438,25.11831975563467,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,wolf_imq_ca,4,6,2.663544677757787,2.4253671095777505,2.901722245937824,35.171066091492115,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,wolf_imq_cv,4,6,3.0939181080098623,2.844427945902133,3.3360599413774796,38.6777720482766,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,constant_velocity,6,6,1.156170208993406,0.8633982841672564,1.4373506067241812,17.398199993285072,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,displacement_kf_ca,6,6,3.145352204385252,2.7674370501773,3.5294908808715526,36.415787061326945,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,displacement_kf_cv,6,6,2.8520833648670227,2.3708010518683404,3.285244777889264,34.05686131383781,6,0.03125,False,,exploratory,movie,,False
