operating_point,condition,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,rmse_improvement_percent_mean,movies_improved,source_path,source_sha256
h1_strict,update_every_6,6,6,7.647252329240733,0.7848449125212335,10.814847958901488,0.8798185421396827,2.14819679593506,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,no_update,6,6,7.8120400713591165,0.761255921746067,11.047893018718142,0.8746039002712102,0.0,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,wrong_cell,6,6,8.101143319114202,0.7282530879077984,11.456746752619496,0.8651460406507016,-3.788939034824795,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h6_utility,no_update,1,6,3.483013707781548,0.4370554357080337,4.925725223476065,0.5059191051218614,0.0,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_stress_aggregate.csv,dcb5d2e44f3c5159698f9647f56d320830e555d33a48f6905cd369f8d8b42f69
h6_utility,update_every_6,1,6,3.534774968331188,0.4288871763754982,4.998926700150893,0.4909656649380038,-1.5313875914884998,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_stress_aggregate.csv,dcb5d2e44f3c5159698f9647f56d320830e555d33a48f6905cd369f8d8b42f69
h6_utility,update_every_3,1,6,3.5929541552576616,0.4272694639931444,5.081204495350152,0.4738541192162968,-3.2306752149363054,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_stress_aggregate.csv,dcb5d2e44f3c5159698f9647f56d320830e555d33a48f6905cd369f8d8b42f69
h6_utility,update_every_2,1,6,3.6400758112169473,0.4204895460324954,5.147844580289253,0.4598572090273496,-4.624416417475087,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_stress_aggregate.csv,dcb5d2e44f3c5159698f9647f56d320830e555d33a48f6905cd369f8d8b42f69
h6_utility,missing_0.4,1,6,3.68310912902684,0.4169689515602016,5.208702881969915,0.4466608124308504,-5.890711617625264,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_stress_aggregate.csv,dcb5d2e44f3c5159698f9647f56d320830e555d33a48f6905cd369f8d8b42f69
h6_utility,missing_0.2,1,6,3.744511180995403,0.4189382799037014,5.295538496621394,0.4278222453428021,-7.67408073232176,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_stress_aggregate.csv,dcb5d2e44f3c5159698f9647f56d320830e555d33a48f6905cd369f8d8b42f69
h6_utility,delay_1frame,1,6,3.770638188282591,0.4167465662575331,5.332487664671156,0.4207462305204867,-8.457399238212874,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_stress_aggregate.csv,dcb5d2e44f3c5159698f9647f56d320830e555d33a48f6905cd369f8d8b42f69
