outer_group,validation_group,variant,control,n_test,validation_rmse,alpha,threshold,innovation_rmse,displacement_rmse,displacement_r2,angular_cosine,magnitude_ratio,gain_vs_cv_percent
high_density/island03,high_density/island02,mechanics_source_pde,kin_spatial_shifted,3316,0.07463345397880114,100.0,0.03,0.06576709162976509,0.06576709183810348,-0.6108369887182408,0.2319876528566178,0.9450705714176548,2.9673393875002603
high_density/island03,high_density/island02,mechanics_source_pde,kin_wrong_island,3316,0.07429367886609067,0.01,0.0,0.06852506333373232,0.06852506353021402,-0.7487720796937936,0.18031699378875604,1.0104883749670288,-1.1017675731392438
high_density/island03,high_density/island02,full_sparse_pde,real,3316,0.06782253505154248,0.01,0.0,0.060157341013961606,0.06015734119289898,-0.34775696127357136,0.25435700648725906,0.8462579412127351,11.243956389462808
high_density/island03,high_density/island02,full_sparse_pde,time_shuffled,3316,0.06782336521948897,1.0,0.0,0.060159028135352496,0.060159028314262904,-0.34783255841275995,0.2540859967394828,0.846289634259191,11.24146721333927
high_density/island03,high_density/island02,full_sparse_pde,spatial_shifted,3316,0.06781114383192641,0.01,0.03,0.06018620948120011,0.06018620966154798,-0.3490508022038017,0.25429952179399107,0.8460375963219626,11.201363897647648
high_density/island03,high_density/island02,full_sparse_pde,wrong_island,3316,0.06782296217886555,1.0,0.0,0.06015938942241723,0.06015938960134506,-0.34784874736953375,0.2539030038364125,0.8462418727865826,11.240934170964328
high_density/island03,high_density/island02,full_sparse_pde,kin_time_shuffled,3316,0.07476545907671212,1.0,0.03,0.0680050643120355,0.0680050645158768,-0.7223318432147252,0.19200741007816366,1.0137186581088615,-0.3345618709131867
high_density/island03,high_density/island02,full_sparse_pde,kin_spatial_shifted,3316,0.07458473412934773,100.0,0.01,0.06561367459278983,0.06561367480171544,-0.6033304505361152,0.23256999976314016,0.9408397476317375,3.193690634118571
high_density/island03,high_density/island02,full_sparse_pde,kin_wrong_island,3316,0.07426875448942645,0.01,0.01,0.06862240740857405,0.06862240760454211,-0.7537440856571545,0.17905065034442594,1.0127148346213963,-1.2453888624942113
high_density/island04,high_density/island03,cv,real,4525,,,,0.1020850650292877,0.10208506525719988,0.13236068231545262,0.6408801719415087,1.01244593251284,0.0
high_density/island04,high_density/island03,persistence,real,4525,,,,0.16812456106934348,0.16812456122073854,-1.353299109585207,0.4941733477738199,1.4376532632457386,-64.69065362024737
high_density/island04,high_density/island03,relaxation,real,4525,0.05939339249997453,0.01,0.0,0.09216604937364102,0.09216604961518383,0.2927763923276191,0.653095710176704,0.9568596809926481,9.716421904639445
high_density/island04,high_density/island03,relaxation,kin_time_shuffled,4525,0.06799709258240644,100.0,0.0,0.10232766787711665,0.10232766810633365,0.1282319317597046,0.6387112931578005,1.0118303345872721,-0.23764773869962472
high_density/island04,high_density/island03,relaxation,kin_spatial_shifted,4525,0.0666591542956932,0.01,0.0,0.10191220380775015,0.10191220403546492,0.135296551731796,0.6428289599065002,1.0110176557796702,0.16933056887355863
high_density/island04,high_density/island03,relaxation,kin_wrong_island,4525,0.06816512825648259,100.0,0.0,0.101338975275924,0.10133897551064631,0.14499663965533993,0.6517216146212401,1.0135346681465376,0.73085102573409
high_density/island04,high_density/island03,isotropic_pde,real,4525,0.059826531896690564,0.01,0.0,0.09181271228716739,0.09181271253776739,0.29818856579277087,0.6505418821920393,0.9584987400046832,10.062542149090701
high_density/island04,high_density/island03,helmholtz_pde,real,4525,0.05982879210101039,0.01,0.0,0.09174390924522674,0.09174390949269653,0.2992400252197509,0.6509050934099194,0.9584601589705131,10.129939906928744
high_density/island04,high_density/island03,helmholtz_pde,kin_time_shuffled,4525,0.06794447011499334,100.0,0.0,0.10229015627666617,0.1022901565049179,0.12887096562050415,0.6388595140778167,1.0117991826881885,-0.2009023035850647
high_density/island04,high_density/island03,helmholtz_pde,kin_spatial_shifted,4525,0.06576341100001117,0.01,0.0,0.1015183757892883,0.10151837602238964,0.14196673312368557,0.6469080135763677,1.0064200737562354,0.555114730428473
high_density/island04,high_density/island03,helmholtz_pde,kin_wrong_island,4525,0.06859851185182816,100.0,0.01,0.10126347657698515,0.101263476809469,0.14627013974797765,0.6545689924386485,1.0217562289864175,0.8048076823587407
high_density/island04,high_density/island03,advective_pde,real,4525,0.060222488179291274,0.01,0.0,0.09205336423275753,0.09205336447525674,0.2945046832452576,0.6528484193063523,0.9621769461333796,9.826805475089435
high_density/island04,high_density/island03,advective_pde,kin_time_shuffled,4525,0.0680333901829278,100.0,0.0,0.10232046914417905,0.10232046937030642,0.1283545849496308,0.6384037060094767,1.011135850808981,-0.23059603529022957
high_density/island04,high_density/island03,advective_pde,kin_spatial_shifted,4525,0.06560808954947422,0.01,0.0,0.10148945276662685,0.10148945299980121,0.14245557822362986,0.6473919540009897,1.0061046255461294,0.5834470065704932
high_density/island04,high_density/island03,advective_pde,kin_wrong_island,4525,0.0687171002127617,100.0,0.03,0.10136722437157648,0.1013672246046728,0.1445198944221534,0.6532995224990135,1.022640138024356,0.7031789133096953
