run,method,metric_unit,sequence,family,video,frame_interval_min,reference_diameter_px,horizon,component_rmse,r2,angular_cosine,magnitude_ratio,n_windows
seed42,v97_direct,pixel,27,embryonic_stem,set_28,15.0,73.2664856575191,6,5.4451398849487305,0.7454657554626465,0.7800188064575195,0.8159629702568054,144
seed42,v97_direct,pixel,32,embryonic_stem,set_32,30.0,77.98800049260215,1,13.998135566711426,-0.7125685214996338,0.04523312672972679,0.76851886510849,113
seed42,v97_direct,pixel,32,embryonic_stem,set_32,30.0,77.98800049260215,2,14.278020858764648,0.07767796516418457,0.42489421367645264,0.7787242531776428,98
seed42,v97_direct,pixel,32,embryonic_stem,set_32,30.0,77.98800049260215,4,15.273452758789062,0.5067247748374939,0.68214350938797,0.7684382200241089,70
seed42,v97_direct,pixel,32,embryonic_stem,set_32,30.0,77.98800049260215,6,15.470858573913574,0.678407609462738,0.7929569482803345,0.7754898071289062,45
seed42,v97_direct,pixel,37,embryonic_stem,set_7,20.0,28.24055498755745,1,3.7493698596954346,-0.9725505113601685,-0.049625515937805176,0.8000080585479736,427
seed42,v97_direct,pixel,37,embryonic_stem,set_7,20.0,28.24055498755745,2,3.550156831741333,0.0030922889709472656,0.39532923698425293,0.8103259801864624,390
seed42,v97_direct,pixel,37,embryonic_stem,set_7,20.0,28.24055498755745,4,3.52866792678833,0.5126468539237976,0.5905593037605286,0.8237012028694153,326
seed42,v97_direct,pixel,37,embryonic_stem,set_7,20.0,28.24055498755745,6,3.5034289360046387,0.7064868807792664,0.6764036417007446,0.8378952145576477,274
seed42,v97_direct,pixel,40,skeletal_muscle,set_1,20.0,29.7472937187728,1,6.412881374359131,-0.32188332080841064,0.18383845686912537,0.7414759397506714,1938
seed42,v97_direct,pixel,40,skeletal_muscle,set_1,20.0,29.7472937187728,2,6.1190185546875,0.41516202688217163,0.5661019682884216,0.7707089781761169,1826
seed42,v97_direct,pixel,40,skeletal_muscle,set_1,20.0,29.7472937187728,4,6.886746406555176,0.6882015466690063,0.755530595779419,0.7818382382392883,1615
seed42,v97_direct,pixel,40,skeletal_muscle,set_1,20.0,29.7472937187728,6,7.414978981018066,0.7771163582801819,0.8265363574028015,0.7880927324295044,1422
seed42,v97_direct,pixel,45,skeletal_muscle,set_7,20.0,35.85376417597725,1,6.529341220855713,0.5102707743644714,0.5001541972160339,0.8076067566871643,2505
seed42,v97_direct,pixel,45,skeletal_muscle,set_7,20.0,35.85376417597725,2,8.012073516845703,0.7533421516418457,0.7364259958267212,0.8130863308906555,2320
seed42,v97_direct,pixel,45,skeletal_muscle,set_7,20.0,35.85376417597725,4,11.528884887695312,0.8387748599052429,0.8622437715530396,0.8138862252235413,1968
seed42,v97_direct,pixel,45,skeletal_muscle,set_7,20.0,35.85376417597725,6,14.394425392150879,0.8799400329589844,0.9133636355400085,0.8077364563941956,1717
seed42,v97_direct,cell_diameter,1,bronchial_epithelial,set_1,5.0,43.1153074361454,1,0.14688634872436523,0.355965793132782,0.4942682087421417,0.8051735162734985,8006
seed42,v97_direct,cell_diameter,1,bronchial_epithelial,set_1,5.0,43.1153074361454,2,0.1757361888885498,0.7144783735275269,0.7442737221717834,0.8194705247879028,7791
seed42,v97_direct,cell_diameter,1,bronchial_epithelial,set_1,5.0,43.1153074361454,4,0.22819884121418,0.8505491018295288,0.8454693555831909,0.8236706852912903,7399
seed42,v97_direct,cell_diameter,1,bronchial_epithelial,set_1,5.0,43.1153074361454,6,0.26400405168533325,0.8936540484428406,0.8835886716842651,0.8227030634880066,7081
seed42,v97_direct,cell_diameter,6,bronchial_epithelial,set_7,5.0,41.887039673926,1,0.1573885679244995,0.27877599000930786,0.5077140927314758,0.818600594997406,7528
