outer_group,validation_group,variant,fit_kind,n_test,validation_rmse,alpha,threshold,innovation_rmse,displacement_rmse,displacement_r2,angular_cosine,magnitude_ratio,gain_vs_cv_percent,drift_observed_cosine,drift_shuffled_cosine,first_order_energy_decrease_fraction,shuffled_energy_decrease_fraction,first_order_energy_change_mean,quadratic_r,gradient_k_transverse,gradient_k_longitudinal,quartic_g,boundary_h,bounded_below_effective_functional
cytod/island01,cytod/island03,helmholtz_unconstrained,unconstrained,2578,0.13854518523851353,100.0,0.0,0.08821997643100726,0.08821997638318294,0.41031527254660727,0.6320062388208076,0.9795835473402189,5.021134834232726,0.6412263049486616,0.005284490336810161,0.8638479441427463,0.49146625290923196,-0.03302390368833378,1.3185497375229325,12.50614989951073,6.282159610579578,-0.0,0.0,True
cytod/island01,cytod/island03,potential_unconstrained,unconstrained,2578,0.1377101198614966,100.0,0.0,0.08804247224106193,0.08804247219319497,0.41268585144091763,0.634654736945931,0.9810139181895825,5.212238337298722,0.6412298252754622,0.005722285091823741,0.8650116369278511,0.4918541505042669,-0.03293920652539728,1.2810001796375723,10.153110943401877,5.080241946547191,0.09978814668394291,0.0,True
cytod/island01,cytod/island03,potential_constrained,constrained,2578,0.1377101198614966,100.0,0.0,0.08804247224106193,0.08804247219319498,0.4126858514409174,0.6346547369459309,0.9810139181895824,5.212238337298707,0.6412298252754621,0.005722285091823722,0.8650116369278511,0.4918541505042669,-0.03293920652539731,1.2810001796375752,10.153110943401604,5.08024194654744,0.09978814668394136,0.0,True
cytod/island01,cytod/island03,potential_boundary_constrained,constrained,2578,0.13771094431862987,100.0,0.0,0.08804280513585307,0.08804280508798824,0.4126814100801329,0.6346285202929939,0.9810085864794481,5.211879938090505,0.6412159148077713,0.005721115673353394,0.8650116369278511,0.4918541505042669,-0.03293918263831366,1.2809996910075765,10.153098854670437,5.080179383313454,0.0997886744169057,-7.438976836002095e-05,True
cytod/island01,cytod/island03,advective_unconstrained,unconstrained,2578,0.13807513600360072,100.0,0.0,0.08761123539451407,0.08761123536410928,0.41842515466632424,0.6348841229206714,0.9800971317032524,5.67651396197516,0.6408037750355979,0.005883404407878744,0.8642358417377812,0.4918541505042669,-0.033072835812143146,1.2801767648603875,10.099088016153727,5.173997792181708,0.09958150124222952,0.0,True
cytod/island02,cytod/island03,helmholtz_unconstrained,unconstrained,3450,0.1386071202436304,100.0,0.0,0.12761221779772802,0.12761221768313324,0.37215144183489657,0.6232127423344198,0.9601381080115521,2.97619969134022,0.6255094987753828,-0.011260101490098545,0.8530434782608696,0.4907246376811594,-0.05457079723797087,1.3243969940265408,11.998650086352537,6.520683043427691,-0.0,0.0,True
cytod/island02,cytod/island03,potential_unconstrained,unconstrained,3450,0.1378095187716817,100.0,0.0,0.1269923284870783,0.12699232838243674,0.3782363031390775,0.6260907638071932,0.9619977559910433,3.4475026497575163,0.6250181612206731,-0.011255203589199325,0.855072463768116,0.4910144927536232,-0.05367931890046379,1.2885526145477586,9.620787647690562,5.407473083048104,0.09409612380895996,0.0,True
cytod/island02,cytod/island03,potential_constrained,constrained,3450,0.13780951877168163,100.0,0.0,0.12699232848707828,0.1269923283824367,0.3782363031390775,0.6260907638071932,0.9619977559910433,3.4475026497575376,0.6250181612206731,-0.011255203589199327,0.855072463768116,0.4910144927536232,-0.0536793189004638,1.2885526145477577,9.620787647690783,5.407473083047999,0.09409612380895997,0.0,True
cytod/island02,cytod/island03,potential_boundary_constrained,constrained,3450,0.13780974714441158,100.0,0.0,0.12699254786068326,0.12699254775603253,0.3782341549989895,0.6261036566917145,0.9619964650030005,3.4473358596151833,0.6250182499063078,-0.011239257476357779,0.8553623188405797,0.4910144927536232,-0.05367920428048261,1.2885532935498296,9.620809153829702,5.407606800318251,0.09409534575867932,0.0001256160576559145,True
cytod/island02,cytod/island03,advective_unconstrained,unconstrained,3450,0.13819506908077459,100.0,0.01,0.1266045859809194,0.12660458588847473,0.3820273377843799,0.6265138661813167,0.9612316302620807,3.7423039704176135,0.6250239959824291,-0.011505239673329901,0.855072463768116,0.4895652173913044,-0.05386256905094238,1.2879370311865959,9.544689974492236,5.504071431256461,0.09385056076997257,0.0,True
