objective_name,variant,horizon,movies,component_rmse_mean,component_rmse_std,component_r2_mean,vector_rmse_mean,vector_r2_mean,gain_vs_no_update_percent
lambda_09,lambda_09_real,2,6,4.17791416827746,0.48067241685725004,0.7793608298960656,5.908462879208692,0.7806195849392844,10.977737786519304
lambda_09,lambda_09_real,4,6,4.9315386923622935,0.6402173471885897,0.9049149307841245,6.974248902106434,0.9056161995808103,24.053079179677
lambda_09,lambda_09_real,6,6,5.518749755686392,0.7135558087254279,0.9366685346019316,7.804690751834901,0.937311393919004,29.52986170145552
lambda_09,lambda_09_stale_time,1,6,3.7625657960291945,0.4152626000002746,0.4213560796776761,5.321071578065607,0.4232023653307662,-8.224788264634507
lambda_09,lambda_09_stale_time,2,6,5.1508506317727125,0.5050200218506924,0.6641291980615865,7.2844028212109935,0.6662402150162714,-9.95713952206492
lambda_09,lambda_09_stale_time,4,6,5.8103848986261255,0.6313371564003714,0.8680350644177754,8.217125126244888,0.869120574239162,10.353442953555843
lambda_09,lambda_09_stale_time,6,6,6.3421647407116675,0.6943699549680934,0.9165157376612966,8.969175391118883,0.917381728335911,18.895363550945486
lambda_09,lambda_09_wrong_cell,1,6,3.841279115443046,0.4238908493319372,0.39668741334929813,5.4323890219200806,0.3979697788784138,-10.46922323126165
lambda_09,lambda_09_wrong_cell,2,6,5.097691257386324,0.48366094950222055,0.6711953133945535,7.209224112986495,0.6729967552537112,-8.833220314185477
lambda_09,lambda_09_wrong_cell,4,6,7.035398914712321,0.6165450076643871,0.8065109597708932,9.949556561891118,0.8079202427331834,-8.76108691393859
lambda_09,lambda_09_wrong_cell,6,6,8.468785918033626,0.67773512683298,0.8512931259720431,11.976671902117436,0.8526471703410939,-8.587570628035147
lambda_10,lambda_10_real,1,6,3.8079649327152563,0.41755892264250816,0.4067982842144506,5.3852756528870644,0.4079878705272236,-9.532741053158263
lambda_10,lambda_10_real,2,6,4.180735110335249,0.4818032143967765,0.7790768968633808,5.912452293725487,0.7803309467767184,10.918950684900457
lambda_10,lambda_10_real,4,6,4.92497815384113,0.6430861782151399,0.9051810827151522,6.964970899553335,0.9058703966542829,24.158739664171705
lambda_10,lambda_10_real,6,6,5.500748634593833,0.7157250217982891,0.9370956586875346,7.779233322247883,0.9377208553285478,29.763802339504462
lambda_10,lambda_10_stale_time,1,6,3.770638188282591,0.4167465662575331,0.41886760603232315,5.332487664671156,0.4207462305204867,-8.457399238212874
lambda_10,lambda_10_stale_time,2,6,5.164902525040719,0.5089336369911216,0.6623077767387995,7.30427519924763,0.6644373179625108,-10.254309520939158
lambda_10,lambda_10_stale_time,4,6,5.809879819356435,0.6327487073134462,0.8680758261341973,8.216410836291617,0.8691534527235575,10.362628755907489
lambda_10,lambda_10_stale_time,6,6,6.329805008851781,0.6931912758350322,0.9168612651946134,8.951696090695338,0.9177094697466287,19.05359910398853
lambda_10,lambda_10_wrong_cell,1,6,3.857260468492137,0.42983620184940746,0.3917239520343056,5.454990068147179,0.39299406711740387,-10.918799692295075
lambda_10,lambda_10_wrong_cell,2,6,5.106984519020243,0.48440684574482956,0.6700016894155585,7.2223667696278655,0.6718065697380683,-9.032750142924192
lambda_10,lambda_10_wrong_cell,4,6,7.045042934652955,0.6176050294937367,0.8059934336245136,9.96319526568696,0.8073994895588358,-8.910997647999007
lambda_10,lambda_10_wrong_cell,6,6,8.475811659872646,0.677232006294141,0.8510636185561685,11.98660780151191,0.8524087979533714,-8.679748068061631
no_update,no_update,1,6,3.483013707781548,0.4370554357080337,0.5047477107256937,4.925725223476065,0.5059191051218614,0.0
no_update,no_update,2,6,4.692148016038391,0.5283004496556833,0.7216388951477023,6.6356993609435015,0.7232227225122463,0.0
no_update,no_update,4,6,6.479881277411175,0.6812862143374457,0.835832025332547,9.16393598508238,0.8370813057016641,0.0
no_update,no_update,6,6,7.8120400713591165,0.761255921746067,0.8733865335139995,11.047893018718142,0.8746039002712102,0.0
