outer_group,variant,control,term,coefficient_standardized,term_scale,coefficient_physical,validation_rmse,alpha,threshold
cn03_5_8/island05,full_sparse_pde,time_shuffled,grad_div_u,0.003060125556867117,0.0006004488123404242,5.096397051631072,0.09390954082300638,100.0,0.03
cn03_5_8/island05,full_sparse_pde,time_shuffled,advect_v_u,-0.005431095614361035,0.0026307822877218805,-2.0644413031471633,0.09390954082300638,100.0,0.03
cn03_5_8/island05,full_sparse_pde,time_shuffled,cubic_u,-0.009211062084149643,0.09205513446990414,-0.10006027515131209,0.09390954082300638,100.0,0.03
cn03_5_8/island05,full_sparse_pde,time_shuffled,stress_div,0.0021764704222200365,14.757997247207612,0.00014747735656556315,0.09390954082300638,100.0,0.03
cn03_5_8/island05,full_sparse_pde,time_shuffled,force_balance,-0.0017766904020374494,31.476983695862923,-5.644411228230115e-05,0.09390954082300638,100.0,0.03
cn03_5_8/island05,full_sparse_pde,spatial_shifted,u_prev,-0.03165652629246212,0.11517366365448377,-0.2748590718398122,0.09381833590831,1.0,0.03
cn03_5_8/island05,full_sparse_pde,spatial_shifted,lap_u,0.007902407539194177,0.0007680091269847473,10.289470868945962,0.09381833590831,1.0,0.03
cn03_5_8/island05,full_sparse_pde,spatial_shifted,grad_div_u,0.0030605988328236615,0.0006004488123404242,5.097185255299425,0.09381833590831,1.0,0.03
cn03_5_8/island05,full_sparse_pde,spatial_shifted,advect_v_u,-0.005433201721604604,0.0026307822877218805,-2.065241866254722,0.09381833590831,1.0,0.03
cn03_5_8/island05,full_sparse_pde,spatial_shifted,cubic_u,-0.009205042017304144,0.09205513446990414,-0.09999487883333195,0.09381833590831,1.0,0.03
cn03_5_8/island05,full_sparse_pde,spatial_shifted,traction,0.028355325802064773,83.85463620758348,0.0003381485757313491,0.09381833590831,1.0,0.03
cn03_5_8/island05,full_sparse_pde,spatial_shifted,stress_div,0.02620720041351359,14.757997247207612,0.001775796537600812,0.09381833590831,1.0,0.03
cn03_5_8/island05,full_sparse_pde,spatial_shifted,force_balance,-0.05450209303945354,31.476983695862927,-0.001731490334844785,0.09381833590831,1.0,0.03
cn03_5_8/island05,full_sparse_pde,wrong_island,u_prev,-0.031654153750841164,0.11517366365448377,-0.2748384721510841,0.09389313253678931,10.0,0.03
cn03_5_8/island05,full_sparse_pde,wrong_island,lap_u,0.007903172105543725,0.0007680091269847473,10.290466386216114,0.09389313253678931,10.0,0.03
cn03_5_8/island05,full_sparse_pde,wrong_island,grad_div_u,0.0030602130356601194,0.0006004488123404242,5.096542740641034,0.09389313253678931,10.0,0.03
cn03_5_8/island05,full_sparse_pde,wrong_island,advect_v_u,-0.0054332794765309675,0.0026307822877218805,-2.065271422074193,0.09389313253678931,10.0,0.03
cn03_5_8/island05,full_sparse_pde,wrong_island,cubic_u,-0.00920488780462925,0.09205513446990414,-0.09999320361254409,0.09389313253678931,10.0,0.03
cn03_5_8/island05,full_sparse_pde,wrong_island,stress_div,-0.001197435024212412,14.07840943693588,-8.505470945253527e-05,0.09389313253678931,10.0,0.03
cn03_5_8/island05,full_sparse_pde,wrong_island,force_balance,0.0012173269612207709,30.0543357644517,4.050420447690035e-05,0.09389313253678931,10.0,0.03
cn03_5_8/island05,full_sparse_pde,kin_time_shuffled,u_prev,-0.004184559874244123,0.11517366365448377,-0.036332610611377526,0.10280962457843376,100.0,0.0
