objective_name,packet_name,control,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,v97_component_rmse_mean,gain_vs_v97_percent_mean,movies_improved_vs_v97,sign_flip_p,bootstrap_mean_delta,bootstrap_ci_low,bootstrap_ci_high,bootstrap_probability_positive
h1_strict,own_local,real,2,7,4.171774911941566,0.20293210841688733,5.899780659635588,0.7704462526703859,4.3704799043987395,4.563931486438979,7,0.015625,0.19864074673605456,0.18951485746473237,0.20808884302206984,1.0
h1_strict,own_local,real,4,7,5.063580489142106,0.18494387794566564,7.160984201912557,0.8981086877049255,5.602715480152857,9.630140733286316,7,0.015625,0.5391863943667948,0.5224539566455029,0.5523638312206948,1.0
h1_strict,own_local,real,6,7,5.772662824317561,0.20248365404047786,8.16377805715687,0.9318507837709357,6.496100228503578,11.13919154698702,7,0.015625,0.7233298104056914,0.692898931949963,0.7505532940893878,1.0
h1_strict,own_local,stale_time,1,7,3.547429872529644,0.23724609455546028,5.016823437298882,0.4510245136427403,3.420378932523928,-3.716484086982073,0,0.015625,-0.1270953021900946,-0.15563931015684723,-0.10782524501230999,0.0
h1_strict,own_local,stale_time,2,7,4.504834981777325,0.16002005356671153,6.3707987274822475,0.7323876856145791,4.3704799043987395,-3.1057298002733313,0,0.015625,-0.1341840022579326,-0.1586377722007728,-0.1073312230817196,0.0
h1_strict,own_local,stale_time,4,7,5.370618573075914,0.20665894932805667,7.595201624376797,0.8853693642877234,5.602715480152857,4.1552483670845035,7,0.015625,0.23212587014655295,0.20963516315828543,0.25480140850004723,1.0
h1_strict,own_local,stale_time,6,7,6.01048322484675,0.22348104135125257,8.500106892994252,0.9261137167506351,6.496100228503578,7.483313836515185,7,0.015625,0.4854272582705751,0.45438660950590176,0.518144602896977,1.0
h1_strict,own_local,v97_no_update,1,7,3.420378932523928,0.2282849131315589,4.837146274830549,0.4899134428720919,3.420378932523928,0.0,0,1.0,0.0,0.0,0.0,0.0
h1_strict,own_local,v97_no_update,2,7,4.3704799043987395,0.19088461483858346,6.180791954879765,0.7481035821221543,4.3704799043987395,0.0,0,1.0,0.0,0.0,0.0,0.0
h1_strict,own_local,v97_no_update,4,7,5.602715480152857,0.1870238879192177,7.923436218149855,0.8752971361036341,5.602715480152857,0.0,0,1.0,0.0,0.0,0.0,0.0
h1_strict,own_local,v97_no_update,6,7,6.496100228503578,0.2160690211475596,9.18687304568472,0.9137298669609993,6.496100228503578,0.0,0,1.0,0.0,0.0,0.0,0.0
