objective_name,variant,control,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,gain_percent_mean,movies_improved,delta_ci_low,delta_ci_high,sign_flip_two_sided_p,sign_flip_one_sided_p,holm_p
h6_guard10,forced_potential,real,4,6,4.977532137824213,0.5946383696175797,7.0392934564589495,0.9039916722791362,23.276022784946253,6,1.4266766475197528,1.579300540881001,0.03125,0.015625,0.0625
h6_guard10,forced_potential,real,6,6,5.581477544976081,0.6068062499671691,7.893401242186061,0.9360469984195471,28.611783209149596,6,2.1001938558924684,2.3749842987363565,0.03125,0.015625,0.0625
h6_guard10,forced_potential,stale_time,1,6,3.747385571665981,0.4664834623754356,5.299603498891284,0.4283020374967377,-7.61712782957395,0,-0.3069808912936082,-0.22233458075460688,0.03125,1.0,1.0
h6_guard10,forced_potential,stale_time,2,6,5.124854680229855,0.5851483462804158,7.2476389939722905,0.669813931074169,-9.229593974604475,0,-0.5044377966491278,-0.3585927798024624,0.03125,1.0,1.0
h6_guard10,forced_potential,stale_time,4,6,5.773492807209398,0.6530717880850598,8.164951830219044,0.8708211385291688,10.95309406965262,6,0.6592586985216493,0.7638370615569062,0.03125,0.015625,0.0625
h6_guard10,forced_potential,stale_time,6,6,6.29395265842513,0.6552883070982407,8.900993210479015,0.9186941391993022,19.47104103611322,6,1.426672463966855,1.6342969276896835,0.03125,0.015625,0.0625
h6_guard10,forced_potential,wrong_cell,1,6,3.8529003797184647,0.5222714294306452,5.448823971470301,0.3950346660726017,-10.531727809040808,0,-0.45411465097630993,-0.2967320168947389,0.03125,1.0,1.0
h6_guard10,forced_potential,wrong_cell,2,6,5.068756505622055,0.5568335536286673,7.168304194617566,0.6768687740912602,-8.05839271113039,0,-0.4104870994048033,-0.344431954836898,0.03125,1.0,1.0
h6_guard10,forced_potential,wrong_cell,4,6,6.982857419313604,0.7311547679824155,9.87525166651089,0.8108173046100502,-7.769848997076028,0,-0.5493944764128357,-0.46508006816315256,0.03125,1.0,1.0
h6_guard10,forced_potential,wrong_cell,6,6,8.3862804745806,0.8145644029725597,11.859991585016559,0.8555230674134978,-7.355645945602265,0,-0.6249722017875169,-0.5345519312066624,0.03125,1.0,1.0
h6_guard10,legacy_dense,real,1,6,3.8079649327152563,0.417558922642508,5.3852756528870644,0.4079878705272236,-9.532741053158263,0,-0.3869368586959367,-0.264073634360525,0.03125,1.0,1.0
h6_guard10,legacy_dense,real,2,6,4.180735110335249,0.4818032143967764,5.912452293725487,0.7803309467767185,10.918950684900457,6,0.47492530872502564,0.5532321619387387,0.03125,0.015625,0.0625
h6_guard10,legacy_dense,real,4,6,4.92497815384113,0.6430861782151398,6.964970899553333,0.9058703966542829,24.158739664171705,6,1.4937286361411404,1.6110778904594156,0.03125,0.015625,0.0625
h6_guard10,legacy_dense,real,6,6,5.500748634593833,0.7157250217982892,7.779233322247884,0.9377208553285478,29.763802339504462,6,2.204304203137081,2.4123275886091458,0.03125,0.015625,0.0625
h6_guard10,legacy_dense,stale_time,1,6,3.770638188282591,0.4167465662575329,5.332487664671156,0.4207462305204867,-8.457399238212874,0,-0.3568231223973077,-0.22184082725574425,0.03125,1.0,1.0
h6_guard10,legacy_dense,stale_time,2,6,5.16490252504072,0.5089336369911218,7.30427519924763,0.6644373179625108,-10.254309520939158,0,-0.5650268930601042,-0.37124934392647785,0.03125,1.0,1.0
h6_guard10,legacy_dense,stale_time,4,6,5.809879819356435,0.6327487073134463,8.216410836291617,0.8691534527235575,10.362628755907489,6,0.6186293272549176,0.7193704149362229,0.03125,0.015625,0.0625
h6_guard10,legacy_dense,stale_time,6,6,6.329805008851781,0.6931912758350323,8.951696090695336,0.9177094697466287,19.05359910398853,6,1.4320791024106585,1.5334673552066935,0.03125,0.015625,0.0625
h6_guard10,legacy_dense,wrong_cell,1,6,3.8593062589504394,0.43499191833158585,5.457883252759083,0.39240758894941563,-10.962405441817864,0,-0.41725889249940007,-0.33100156877236836,0.03125,1.0,1.0
h6_guard10,legacy_dense,wrong_cell,2,6,5.117338697392461,0.4811421607301932,7.237009789109087,0.6704388418990038,-9.260986369891233,0,-0.5039032108053624,-0.362744440696499,0.03125,1.0,1.0
h6_guard10,legacy_dense,wrong_cell,4,6,7.073569198494893,0.619850030843095,10.003537494896063,0.8058267777139904,-9.350978054813735,0,-0.7213833878351364,-0.5029930123179054,0.03125,1.0,1.0
h6_guard10,legacy_dense,wrong_cell,6,6,8.529484233657328,0.6896490269083847,12.062512283285677,0.8505538361057033,-9.358972565407049,0,-0.8837838050002746,-0.6066841260040402,0.03125,1.0,1.0
h6_guard10,no_update,no_update,1,6,3.483013707781548,0.43705543570803357,4.925725223476065,0.5059191051218614,0.0,0,0.0,0.0,1.0,1.0,1.0
h6_guard10,no_update,no_update,2,6,4.692148016038391,0.5283004496556831,6.6356993609435015,0.7232227225122462,0.0,0,0.0,0.0,1.0,1.0,1.0
h6_guard10,no_update,no_update,4,6,6.4798812774111765,0.6812862143374456,9.16393598508238,0.8370813057016641,0.0,0,0.0,0.0,1.0,1.0,1.0
h6_guard10,no_update,no_update,6,6,7.8120400713591165,0.761255921746067,11.047893018718142,0.8746039002712102,0.0,0,0.0,0.0,1.0,1.0,1.0
h6_guard10,self_memory,real,1,6,3.8067433674415043,0.5472307264104562,5.3835480987096025,0.409025218596028,-9.159369755556247,0,-0.43493076997312513,-0.20641949044189864,0.03125,1.0,1.0
